yturl,artist,title,album,bass_player,year,start_ms,end_ms,key,scale,complexity_rhythm,complexity_melodic,type
https://www.youtube.com/watch?v=L_XJ_s5IsQc,Snarky Puppy,Lingus,We Like It Here,Michael League,2014,,,,,,,
https://www.youtube.com/watch?v=kk0WRHV_vt8,Snarky Puppy,Shofukan,We Like It Here,Michael League,2014,,,,,,,
https://www.youtube.com/watch?v=eZBlRkF0-to,Snarky Puppy,Thing of Gold,groundUP,Michael League,2012,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,Snarky Puppy,,,,,,,,,,,
,Jamiroquai,,,,,,,,,,,
